数据库类型		数据名称				描述对象	数据性质	提示词内容	数据描述	应用	可组合结构	数据来源	时效周期	应用类型标签
商业数据库	消费数据库	消费行为数据库			探索与好奇心	消费端	定性数据	"1、查询xx品类的探索与好奇心数据
2、查询xx人群的探索与好奇心数据
3、查询xx地区的探索与好奇心数据"	描述消费者探索与好奇心相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	尼尔森,凯度消费者指数,欧睿Euromonitor,艾瑞咨询	季/年	消费行为
商业数据库	消费数据库	消费行为数据库			其他	消费端	定性数据	"1、查询xx品类的其他数据
2、查询xx人群的其他数据
3、查询xx地区的其他数据"	描述消费者其他相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	尼尔森,凯度消费者指数,欧睿Euromonitor,艾瑞咨询	季/年	消费行为
商业数据库	消费数据库	人群洞察数据库			"人口统计数据
年龄，性别，婚姻，教育，职业，收入"	消费端	定性/定量	"1、查询xx品类的人口统计数据
年龄，性别，婚姻，教育，职业，收入数据
2、查询xx人群的人口统计数据
年龄，性别，婚姻，教育，职业，收入数据
3、查询xx地区的人口统计数据
年龄，性别，婚姻，教育，职业，收入数据"	"描述消费者人口统计数据
年龄，性别，婚姻，教育，职业，收入相关的行为和特征数据"		品类-人群,品类-地区,人群-地区,时间序列	中国国家统计局,QuestMobile,艾瑞咨询,CNNIC	年	人群洞察
商业数据库	消费数据库	人群洞察数据库			地理位置数据	消费端	定性/定量	"1、查询xx品类的地理位置数据数据
2、查询xx人群的地理位置数据数据
3、查询xx地区的地理位置数据数据"	描述消费者地理位置数据相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	中国国家统计局,QuestMobile,艾瑞咨询,CNNIC	年	人群洞察
商业数据库	消费数据库	人群洞察数据库			心理画像数据	消费端	定性/定量	"1、查询xx品类的心理画像数据数据
2、查询xx人群的心理画像数据数据
3、查询xx地区的心理画像数据数据"	描述消费者心理画像数据相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	中国国家统计局,QuestMobile,艾瑞咨询,CNNIC	年	人群洞察
商业数据库	消费数据库	人群洞察数据库			媒体使用数据	消费端	定性/定量	"1、查询xx品类的媒体使用数据数据
2、查询xx人群的媒体使用数据数据
3、查询xx地区的媒体使用数据数据"	描述消费者媒体使用数据相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	中国国家统计局,QuestMobile,艾瑞咨询,CNNIC	年	人群洞察
商业数据库	消费数据库	人群洞察数据库			设备和技术数据	消费端	定性/定量	"1、查询xx品类的设备和技术数据数据
2、查询xx人群的设备和技术数据数据
3、查询xx地区的设备和技术数据数据"	描述消费者设备和技术数据相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	中国国家统计局,QuestMobile,艾瑞咨询,CNNIC	年	人群洞察
商业数据库	消费数据库	人群洞察数据库			社会关系数据	消费端	定性/定量	"1、查询xx品类的社会关系数据数据
2、查询xx人群的社会关系数据数据
3、查询xx地区的社会关系数据数据"	描述消费者社会关系数据相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	中国国家统计局,QuestMobile,艾瑞咨询,CNNIC	年	人群洞察
商业数据库	消费数据库	人群洞察数据库			健康和生活习惯数据	消费端	定性/定量	"1、查询xx品类的健康和生活习惯数据数据
2、查询xx人群的健康和生活习惯数据数据
3、查询xx地区的健康和生活习惯数据数据"	描述消费者健康和生活习惯数据相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	中国国家统计局,QuestMobile,艾瑞咨询,CNNIC	年	人群洞察
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	市场规模	消费端	定量数据	"1、查询农业的市场规模数据
2、查询xx地区农业的市场规模数据
3、对比不同地区农业的市场规模数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	市场增长率	消费端	定量数据	"1、查询农业的市场增长率数据
2、查询xx地区农业的市场增长率数据
3、对比不同地区农业的市场增长率数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	市场份额	消费端	定量数据	"1、查询农业的市场份额数据
2、查询xx地区农业的市场份额数据
3、对比不同地区农业的市场份额数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	市场趋势	消费端	定量数据	"1、查询农业的市场趋势数据
2、查询xx地区农业的市场趋势数据
3、对比不同地区农业的市场趋势数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	竞争结构	供给端	定量数据	"1、查询农业的竞争结构数据
2、查询xx地区农业的竞争结构数据
3、对比不同地区农业的竞争结构数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	供应链结构	供给端	定量数据	"1、查询农业的供应链结构数据
2、查询xx地区农业的供应链结构数据
3、对比不同地区农业的供应链结构数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	客户群体	消费端	定量数据	"1、查询农业的客户群体数据
2、查询xx地区农业的客户群体数据
3、对比不同地区农业的客户群体数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	产品和服务	消费端	定量数据	"1、查询农业的产品和服务数据
2、查询xx地区农业的产品和服务数据
3、对比不同地区农业的产品和服务数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	法规环境	供给端	定量数据	"1、查询农业的法规环境数据
2、查询xx地区农业的法规环境数据
3、对比不同地区农业的法规环境数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	消费者支出	消费端	定量数据	"1、查询农业的消费者支出数据
2、查询xx地区农业的消费者支出数据
3、对比不同地区农业的消费者支出数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	消费者信心	消费端	定量数据	"1、查询农业的消费者信心数据
2、查询xx地区农业的消费者信心数据
3、对比不同地区农业的消费者信心数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农业	商业信心指数	供给端	定量数据	"1、查询农业的商业信心指数数据
2、查询xx地区农业的商业信心指数数据
3、对比不同地区农业的商业信心指数数据"			全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	林业	行业数据要素	供给端	定性/定量	"1、查询林业的行业数据要素数据
2、查询xx地区林业的行业数据要素数据
3、对比不同地区林业的行业数据要素数据"	林业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	林业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	畜牧业	行业数据要素	供给端	定性/定量	"1、查询畜牧业的行业数据要素数据
2、查询xx地区畜牧业的行业数据要素数据
3、对比不同地区畜牧业的行业数据要素数据"	畜牧业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	畜牧业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	渔业	行业数据要素	供给端	定性/定量	"1、查询渔业的行业数据要素数据
2、查询xx地区渔业的行业数据要素数据
3、对比不同地区渔业的行业数据要素数据"	渔业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	渔业
商业数据库	行业数据库	第一产业	农、林、牧、渔业	农、林、牧、渔专业及辅助性活动	行业数据要素	供给端	定性/定量	"1、查询农、林、牧、渔专业及辅助性活动的行业数据要素数据
2、查询xx地区农、林、牧、渔专业及辅助性活动的行业数据要素数据
3、对比不同地区农、林、牧、渔专业及辅助性活动的行业数据要素数据"	农、林、牧、渔专业及辅助性活动行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农、林、牧、渔专业及辅助性活动
商业数据库	行业数据库	第一产业	采矿业	煤炭开采和洗选业	行业数据要素	供给端	定性/定量	"1、查询煤炭开采和洗选业的行业数据要素数据
2、查询xx地区煤炭开采和洗选业的行业数据要素数据
3、对比不同地区煤炭开采和洗选业的行业数据要素数据"	煤炭开采和洗选业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	煤炭开采和洗选业
商业数据库	行业数据库	第一产业	采矿业	石油和天然气开采业	行业数据要素	供给端	定性/定量	"1、查询石油和天然气开采业的行业数据要素数据
2、查询xx地区石油和天然气开采业的行业数据要素数据
3、对比不同地区石油和天然气开采业的行业数据要素数据"	石油和天然气开采业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	石油和天然气开采业
商业数据库	行业数据库	第一产业	采矿业	黑色金属矿采选业	行业数据要素	供给端	定性/定量	"1、查询黑色金属矿采选业的行业数据要素数据
2、查询xx地区黑色金属矿采选业的行业数据要素数据
3、对比不同地区黑色金属矿采选业的行业数据要素数据"	黑色金属矿采选业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	黑色金属矿采选业
商业数据库	行业数据库	第一产业	采矿业	有色金属矿采选业	行业数据要素	供给端	定性/定量	"1、查询有色金属矿采选业的行业数据要素数据
2、查询xx地区有色金属矿采选业的行业数据要素数据
3、对比不同地区有色金属矿采选业的行业数据要素数据"	有色金属矿采选业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	有色金属矿采选业
商业数据库	行业数据库	第一产业	采矿业	非金属矿采选业	行业数据要素	供给端	定性/定量	"1、查询非金属矿采选业的行业数据要素数据
2、查询xx地区非金属矿采选业的行业数据要素数据
3、对比不同地区非金属矿采选业的行业数据要素数据"	非金属矿采选业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	非金属矿采选业
商业数据库	行业数据库	第一产业	采矿业	开采专业及辅助性活动	行业数据要素	供给端	定性/定量	"1、查询开采专业及辅助性活动的行业数据要素数据
2、查询xx地区开采专业及辅助性活动的行业数据要素数据
3、对比不同地区开采专业及辅助性活动的行业数据要素数据"	开采专业及辅助性活动行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	开采专业及辅助性活动
商业数据库	行业数据库	第一产业	采矿业	其他采矿业	行业数据要素	供给端	定性/定量	"1、查询其他采矿业的行业数据要素数据
2、查询xx地区其他采矿业的行业数据要素数据
3、对比不同地区其他采矿业的行业数据要素数据"	其他采矿业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	其他采矿业
商业数据库	行业数据库	第二产业	制造业	农副食品加工业	行业数据要素	供给端	定性/定量	"1、查询农副食品加工业的行业数据要素数据
2、查询xx地区农副食品加工业的行业数据要素数据
3、对比不同地区农副食品加工业的行业数据要素数据"	农副食品加工业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	农副食品加工业
商业数据库	行业数据库	第二产业	制造业	食品制造业	行业数据要素	供给端	定性/定量	"1、查询食品制造业的行业数据要素数据
2、查询xx地区食品制造业的行业数据要素数据
3、对比不同地区食品制造业的行业数据要素数据"	食品制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	食品制造业
商业数据库	行业数据库	第二产业	制造业	酒、饮料和精制茶制造业	行业数据要素	供给端	定性/定量	"1、查询酒、饮料和精制茶制造业的行业数据要素数据
2、查询xx地区酒、饮料和精制茶制造业的行业数据要素数据
3、对比不同地区酒、饮料和精制茶制造业的行业数据要素数据"	酒、饮料和精制茶制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	酒、饮料和精制茶制造业
商业数据库	行业数据库	第二产业	制造业	烟草制品业	行业数据要素	供给端	定性/定量	"1、查询烟草制品业的行业数据要素数据
2、查询xx地区烟草制品业的行业数据要素数据
3、对比不同地区烟草制品业的行业数据要素数据"	烟草制品业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	烟草制品业
商业数据库	行业数据库	第二产业	制造业	纺织业	行业数据要素	供给端	定性/定量	"1、查询纺织业的行业数据要素数据
2、查询xx地区纺织业的行业数据要素数据
3、对比不同地区纺织业的行业数据要素数据"	纺织业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	纺织业
商业数据库	行业数据库	第二产业	制造业	纺织服装、服饰业	行业数据要素	供给端	定性/定量	"1、查询纺织服装、服饰业的行业数据要素数据
2、查询xx地区纺织服装、服饰业的行业数据要素数据
3、对比不同地区纺织服装、服饰业的行业数据要素数据"	定量数据，例如发布的产品数量；定性数据，例如产品类型和特性		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	纺织服装、服饰业
商业数据库	行业数据库	第二产业	制造业	皮革、毛皮、羽毛及其制品和制鞋业	行业数据要素	供给端	定性/定量	"1、查询皮革、毛皮、羽毛及其制品和制鞋业的行业数据要素数据
2、查询xx地区皮革、毛皮、羽毛及其制品和制鞋业的行业数据要素数据
3、对比不同地区皮革、毛皮、羽毛及其制品和制鞋业的行业数据要素数据"	皮革、毛皮、羽毛及其制品和制鞋业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	皮革、毛皮、羽毛及其制品和制鞋业
商业数据库	行业数据库	第二产业	制造业	木材加工和木、竹、藤、棕、草制品业	行业数据要素	供给端	定性/定量	"1、查询木材加工和木、竹、藤、棕、草制品业的行业数据要素数据
2、查询xx地区木材加工和木、竹、藤、棕、草制品业的行业数据要素数据
3、对比不同地区木材加工和木、竹、藤、棕、草制品业的行业数据要素数据"	木材加工和木、竹、藤、棕、草制品业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	木材加工和木、竹、藤、棕、草制品业
商业数据库	行业数据库	第二产业	制造业	家具制造业	行业数据要素	供给端	定性/定量	"1、查询家具制造业的行业数据要素数据
2、查询xx地区家具制造业的行业数据要素数据
3、对比不同地区家具制造业的行业数据要素数据"	家具制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	家具制造业
商业数据库	行业数据库	第二产业	制造业	造纸和纸制品业	行业数据要素	供给端	定性/定量	"1、查询造纸和纸制品业的行业数据要素数据
2、查询xx地区造纸和纸制品业的行业数据要素数据
3、对比不同地区造纸和纸制品业的行业数据要素数据"	定量数据，例如重复购买率；定性数据，例如消费者对品牌的情感认同		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	造纸和纸制品业
商业数据库	行业数据库	第二产业	制造业	印刷和记录媒介复制业	行业数据要素	供给端	定性/定量	"1、查询印刷和记录媒介复制业的行业数据要素数据
2、查询xx地区印刷和记录媒介复制业的行业数据要素数据
3、对比不同地区印刷和记录媒介复制业的行业数据要素数据"	定量数据，例如市场份额、销售额等；定性数据，例如品牌声誉、消费者满意度等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	印刷和记录媒介复制业
商业数据库	行业数据库	第二产业	制造业	文教、工美、体育和娱乐用品制造业	行业数据要素	供给端	定性/定量	"1、查询文教、工美、体育和娱乐用品制造业的行业数据要素数据
2、查询xx地区文教、工美、体育和娱乐用品制造业的行业数据要素数据
3、对比不同地区文教、工美、体育和娱乐用品制造业的行业数据要素数据"	文教、工美、体育和娱乐用品制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	文教、工美、体育和娱乐用品制造业
商业数据库	行业数据库	第二产业	制造业	石油、煤炭及其他燃料加工业	行业数据要素	供给端	定性/定量	"1、查询石油、煤炭及其他燃料加工业的行业数据要素数据
2、查询xx地区石油、煤炭及其他燃料加工业的行业数据要素数据
3、对比不同地区石油、煤炭及其他燃料加工业的行业数据要素数据"	定量数据，例如市场份额、销售额等；定性数据，例如竞争策略、竞争优势等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	石油、煤炭及其他燃料加工业
商业数据库	行业数据库	第二产业	制造业	化学原料和化学制品制造业	行业数据要素	供给端	定性/定量	"1、查询化学原料和化学制品制造业的行业数据要素数据
2、查询xx地区化学原料和化学制品制造业的行业数据要素数据
3、对比不同地区化学原料和化学制品制造业的行业数据要素数据"	定量数据，例如销售额、利润等；定性数据，例如业务策略、业务模式等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	化学原料和化学制品制造业
商业数据库	行业数据库	第二产业	制造业	医药制造业	行业数据要素	供给端	定性/定量	"1、查询医药制造业的行业数据要素数据
2、查询xx地区医药制造业的行业数据要素数据
3、对比不同地区医药制造业的行业数据要素数据"	医药制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	医药制造业
商业数据库	行业数据库	第二产业	制造业	化学纤维制造业	行业数据要素	供给端	定性/定量	"1、查询化学纤维制造业的行业数据要素数据
2、查询xx地区化学纤维制造业的行业数据要素数据
3、对比不同地区化学纤维制造业的行业数据要素数据"	化学纤维制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	化学纤维制造业
商业数据库	行业数据库	第二产业	制造业	橡胶和塑料制品业	行业数据要素	供给端	定性/定量	"1、查询橡胶和塑料制品业的行业数据要素数据
2、查询xx地区橡胶和塑料制品业的行业数据要素数据
3、对比不同地区橡胶和塑料制品业的行业数据要素数据"	橡胶和塑料制品业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	橡胶和塑料制品业
商业数据库	行业数据库	第二产业	制造业	非金属矿物制品业	行业数据要素	供给端	定性/定量	"1、查询非金属矿物制品业的行业数据要素数据
2、查询xx地区非金属矿物制品业的行业数据要素数据
3、对比不同地区非金属矿物制品业的行业数据要素数据"	非金属矿物制品业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	非金属矿物制品业
商业数据库	行业数据库	第二产业	制造业	黑色金属冶炼和压延加工业	行业数据要素	供给端	定性/定量	"1、查询黑色金属冶炼和压延加工业的行业数据要素数据
2、查询xx地区黑色金属冶炼和压延加工业的行业数据要素数据
3、对比不同地区黑色金属冶炼和压延加工业的行业数据要素数据"	定量数据，例如市场份额、竞争对手数量等；定性数据，例如竞争策略、竞争优势等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	黑色金属冶炼和压延加工业
商业数据库	行业数据库	第二产业	制造业	有色金属冶炼和压延加工业	行业数据要素	供给端	定性/定量	"1、查询有色金属冶炼和压延加工业的行业数据要素数据
2、查询xx地区有色金属冶炼和压延加工业的行业数据要素数据
3、对比不同地区有色金属冶炼和压延加工业的行业数据要素数据"	定量数据，例如员工数量、营收等；定性数据，例如公司使命、战略等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	有色金属冶炼和压延加工业
商业数据库	行业数据库	第二产业	制造业	金属制品业	行业数据要素	供给端	定性/定量	"1、查询金属制品业的行业数据要素数据
2、查询xx地区金属制品业的行业数据要素数据
3、对比不同地区金属制品业的行业数据要素数据"	这些数据主要反映了公司的销售策略和效果（供给端），同时也反映了消费者的购买行为和偏好（消费端）		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	金属制品业
商业数据库	行业数据库	第二产业	制造业	通用设备制造业	行业数据要素	供给端	定性/定量	"1、查询通用设备制造业的行业数据要素数据
2、查询xx地区通用设备制造业的行业数据要素数据
3、对比不同地区通用设备制造业的行业数据要素数据"	通用设备制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	通用设备制造业
商业数据库	行业数据库	第二产业	制造业	专用设备制造业	行业数据要素	供给端	定性/定量	"1、查询专用设备制造业的行业数据要素数据
2、查询xx地区专用设备制造业的行业数据要素数据
3、对比不同地区专用设备制造业的行业数据要素数据"	专用设备制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	专用设备制造业
商业数据库	行业数据库	第二产业	制造业	汽车制造业	行业数据要素	供给端	定性/定量	"1、查询汽车制造业的行业数据要素数据
2、查询xx地区汽车制造业的行业数据要素数据
3、对比不同地区汽车制造业的行业数据要素数据"	汽车制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	汽车制造业
商业数据库	行业数据库	第二产业	制造业	铁路、船舶、航空航天和其他运输设备制造业	行业数据要素	供给端	定性/定量	"1、查询铁路、船舶、航空航天和其他运输设备制造业的行业数据要素数据
2、查询xx地区铁路、船舶、航空航天和其他运输设备制造业的行业数据要素数据
3、对比不同地区铁路、船舶、航空航天和其他运输设备制造业的行业数据要素数据"	铁路、船舶、航空航天和其他运输设备制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	铁路、船舶、航空航天和其他运输设备制造业
商业数据库	行业数据库	第二产业	制造业	电气机械和器材制造业	行业数据要素	供给端	定性/定量	"1、查询电气机械和器材制造业的行业数据要素数据
2、查询xx地区电气机械和器材制造业的行业数据要素数据
3、对比不同地区电气机械和器材制造业的行业数据要素数据"	电气机械和器材制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	电气机械和器材制造业
商业数据库	行业数据库	第二产业	制造业	计算机、通信和其他电子设备制造业	行业数据要素	供给端	定性/定量	"1、查询计算机、通信和其他电子设备制造业的行业数据要素数据
2、查询xx地区计算机、通信和其他电子设备制造业的行业数据要素数据
3、对比不同地区计算机、通信和其他电子设备制造业的行业数据要素数据"	计算机、通信和其他电子设备制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	计算机、通信和其他电子设备制造业
商业数据库	行业数据库	第二产业	制造业	仪器仪表制造业	行业数据要素	供给端	定性/定量	"1、查询仪器仪表制造业的行业数据要素数据
2、查询xx地区仪器仪表制造业的行业数据要素数据
3、对比不同地区仪器仪表制造业的行业数据要素数据"	仪器仪表制造业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	仪器仪表制造业
商业数据库	行业数据库	第二产业	制造业	其他制造业	行业数据要素	供给端	定性/定量	"1、查询其他制造业的行业数据要素数据
2、查询xx地区其他制造业的行业数据要素数据
3、对比不同地区其他制造业的行业数据要素数据"	定量数据，例如按年龄、性别、地理位置等细分的客户数量；定性数据，例如客户的需求、偏好、生活方式等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	其他制造业
商业数据库	行业数据库	第二产业	制造业	废弃资源综合利用业	行业数据要素	供给端	定性/定量	"1、查询废弃资源综合利用业的行业数据要素数据
2、查询xx地区废弃资源综合利用业的行业数据要素数据
3、对比不同地区废弃资源综合利用业的行业数据要素数据"	定量数据，例如满意度评分或百分比；定性数据，例如客户的反馈或评论		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	废弃资源综合利用业
